,forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
0,2023-04-01,wind,6 hour,5.4545264545408045,5.9993453679002435,6.343246435280049,6.574048912779139,6.855738900051226
1,2023-04-01,t2m,6 hour,281.33365375,281.554165,281.67134,281.7422025,281.83708
2,2023-04-01,rh,6 hour,98.49229357837449,98.82226060486596,98.92602039034884,99.03155273993224,99.20253717621164
3,2023-04-01,precip,6 hour,1.029518205,1.694531175,2.3364759,2.81348425,3.5554284399999996
4,2023-04-01,wind,12 hour,5.491175961660399,5.825752370516888,6.0964078141548885,6.33585497545044,6.795525049393836
5,2023-04-01,t2m,12 hour,282.217671,282.7078975,282.86132499999997,283.31534999999997,283.77847125
6,2023-04-01,rh,12 hour,95.30143279629257,96.32785392913624,97.05403271682681,97.4788069355089,97.9619556506718
7,2023-04-01,precip,12 hour,2.3384080925,2.9632146500000003,3.53968625,4.3829715,6.2850134424999995
8,2023-04-01,wind,18 hour,4.467686117418103,4.945884351203338,5.0719369746759675,5.363532920372797,5.73912756342245
9,2023-04-01,t2m,18 hour,280.86876574999997,281.23234,281.3779,281.5832625,282.021676
10,2023-04-01,rh,18 hour,96.53251489698509,97.49339831482321,97.93914015207963,98.58589276523618,98.96453985825771
11,2023-04-01,precip,18 hour,2.94441394,4.0783226,4.9963835,5.74467775,8.792811124999998
12,2023-04-01,wind,24 hour,4.601001416680475,4.929818706047493,5.24075723483217,5.50833686433467,6.109776003764977
13,2023-04-01,t2m,24 hour,280.022649,280.5170325,280.70570499999997,280.8918125,281.4386325
14,2023-04-01,rh,24 hour,98.13424180933073,98.59330203795194,98.77483979497474,98.93549522852454,99.26373550142661
15,2023-04-01,precip,24 hour,4.502022075,6.0075562,7.1239159999999995,7.96487445,11.238319849999998
16,2023-04-01,wind,30 hour,4.972661839003337,5.403026339808676,5.6836088426803695,5.978263293704042,6.841714845202309
17,2023-04-01,t2m,30 hour,277.30617625,278.04961749999995,278.3624,278.54508500000003,279.042395
18,2023-04-01,rh,30 hour,96.16718339230857,97.38691843766948,97.92736107756159,98.20059755421221,98.78959303583659
19,2023-04-01,precip,30 hour,5.41305254,7.061483375,7.9752507999999995,9.127478125,11.725095924999998
20,2023-04-01,wind,36 hour,5.273917980132307,5.800929709614739,6.183388365778336,6.55923600931261,8.092514842035987
21,2023-04-01,t2m,36 hour,279.581464,280.4962575,281.124485,281.65894000000003,282.52328775
22,2023-04-01,rh,36 hour,89.08289133686176,90.65028376474604,91.44306483504513,92.6605171145059,95.7402108901902
23,2023-04-01,precip,36 hour,5.4168271725,7.199764675,8.1375035,9.23821025,11.753360999999998
24,2023-04-01,wind,42 hour,3.5086065132771456,3.9925530308097645,4.452364479494964,4.827591887340809,5.7687311938202885
25,2023-04-01,t2m,42 hour,278.7367875,280.09111,280.75642500000004,281.5380225,282.1975845
26,2023-04-01,rh,42 hour,89.43583001140259,90.14881478880996,90.71023996006784,91.11852769777235,92.13310134012451
27,2023-04-01,precip,42 hour,5.417471122499999,7.199764675,8.1398295,9.24196775,11.753360999999998
28,2023-04-01,wind,48 hour,2.9304395609443974,3.3149511580466813,3.6496229345090283,3.9350969348046374,4.517949395181379
29,2023-04-01,t2m,48 hour,274.48504099999997,275.364925,275.83709999999996,276.2041575,278.3408285
30,2023-04-01,rh,48 hour,92.04751454270746,94.21633559691008,94.8230813454465,96.03137229379709,96.86290090683316
31,2023-04-01,precip,48 hour,5.417471122499999,7.199764675,8.1398295,9.24196775,11.753360999999998
32,2023-04-01,wind,54 hour,2.8482777480244352,3.5443797305625173,3.888078524724709,4.10488019350918,4.328819214146545
33,2023-04-01,t2m,54 hour,272.009043,272.953575,273.313765,273.748435,274.419828
34,2023-04-01,rh,54 hour,94.9644947743085,95.792032217701,96.26913593249282,96.92490146639012,97.90481965405928
35,2023-04-01,precip,54 hour,5.417471122499999,7.199764675,8.1398295,9.240625249999999,11.756133949999997
36,2023-04-01,wind,60 hour,4.42382206718841,4.801603440511217,5.221158977812565,5.744071475525701,6.058967616749938
37,2023-04-01,t2m,60 hour,280.2827925,280.9040725,281.43347500000004,281.72936000000004,282.862405
38,2023-04-01,rh,60 hour,82.8268409490977,84.68180314558397,85.91815655208143,86.92000650373741,88.16505652609239
39,2023-04-01,precip,60 hour,5.417471122499999,7.199764675,8.1398295,9.240625249999999,11.756133949999997
40,2023-04-01,wind,66 hour,2.701779923695637,3.578013508890735,4.1062642885963125,4.629490506879963,6.191130371655479
41,2023-04-01,t2m,66 hour,276.78370924999996,278.20397,279.078285,279.68099,280.55554824999996
42,2023-04-01,rh,66 hour,83.69344554579216,85.9339045394585,86.91948133207273,87.95682787062375,89.09240564201801
43,2023-04-01,precip,66 hour,5.417471122499999,7.199764675,8.139650499999998,9.240625249999999,11.756133949999997
44,2023-04-01,wind,72 hour,2.1230883432810814,2.6669902941872157,3.0872984673524186,3.4743498281551646,4.4106470228277015
45,2023-04-01,t2m,72 hour,272.137413,273.40310999999997,274.055295,274.563345,275.4216095
46,2023-04-01,rh,72 hour,89.17977045128536,91.35742558159251,92.1282558597453,92.83659810184805,95.21847384591852
47,2023-04-01,precip,72 hour,5.417471122499999,7.199764675,8.139650499999998,9.240625249999999,11.756133949999997
48,2023-04-01,wind,78 hour,1.568611520609976,2.3684936955129827,2.733984299443454,3.1706564918208127,3.942620317617271
49,2023-04-01,t2m,78 hour,270.00569075,271.393875,271.71939499999996,272.1464875,273.101049
50,2023-04-01,rh,78 hour,93.55869350510552,95.57121429461526,96.1634370010806,96.9172891855539,97.54434194043533
51,2023-04-01,precip,78 hour,5.417471122499999,7.199764675,8.139650499999998,9.240625249999999,11.756133949999997
52,2023-04-01,wind,84 hour,1.560336960924971,2.983360832945949,3.529763492383741,4.180148459021781,5.079812141881778
53,2023-04-01,t2m,84 hour,277.82928675,280.090305,280.854325,281.5778775,282.29784574999996
54,2023-04-01,rh,84 hour,84.07615637122387,85.67365923940402,86.5935479897012,87.22725009947756,88.38957559085948
55,2023-04-01,precip,84 hour,5.417471122499999,7.199764675,8.139650499999998,9.240625249999999,11.756133949999997
56,2023-04-01,wind,90 hour,1.4501576232204128,2.000928056528155,2.658531804746902,3.1432820761583424,4.276880661781038
57,2023-04-01,t2m,90 hour,276.469601,278.5453925,279.121975,279.72492,280.44921775
58,2023-04-01,rh,90 hour,87.30640013038543,88.62314963783031,89.35508722871582,90.44318293350548,92.39622953487857
59,2023-04-01,precip,90 hour,5.417471122499999,7.199764675,8.139650499999998,9.240625249999999,11.756133949999997
60,2023-04-01,wind,96 hour,0.9063951029025012,1.946816959420429,2.1221087701531154,2.467759227304514,3.647024794110021
61,2023-04-01,t2m,96 hour,271.42133075,272.5033775,273.60546999999997,274.271325,276.91510124999996
62,2023-04-01,rh,96 hour,92.23481722976634,94.59492832899777,96.60310169811464,97.29022784964722,97.95623452262313
63,2023-04-01,precip,96 hour,5.417471122499999,7.199764675,8.139650499999998,9.240625249999999,11.756133949999997
64,2023-04-01,wind,102 hour,1.084739296235971,1.4702870083863364,1.8173372205232896,2.4864039165992384,3.5241711992307385
65,2023-04-01,t2m,102 hour,270.08170125,271.477645,271.60672,272.4542825,274.71651825
66,2023-04-01,rh,102 hour,94.58382701993294,96.99993889299509,97.59758167459736,98.27937198405695,99.07392912829175
67,2023-04-01,precip,102 hour,5.417471122499999,7.199764675,8.139650499999998,9.240625249999999,11.756133949999997
68,2023-04-01,wind,108 hour,0.5743810567462484,1.6160100652551288,2.6578625614065405,3.4918963637748113,5.287750753734597
69,2023-04-01,t2m,108 hour,278.508417,280.6947475,281.553405,282.5017775,284.17600075
70,2023-04-01,rh,108 hour,83.34547098238694,85.25043383535171,86.16028781249021,86.99961609507582,89.29997231474991
71,2023-04-01,precip,108 hour,5.5500103825,7.199764675,8.139650499999998,9.24178775,11.765954974999998
72,2023-04-01,wind,114 hour,1.0401145854231117,1.7391532114596995,1.9616790777836872,2.3522115425415064,4.394285267771517
73,2023-04-01,t2m,114 hour,276.80575825,278.8888125,279.72217,280.37681,282.32925675
74,2023-04-01,rh,114 hour,86.03370276007341,89.20046887901039,90.6227500985261,92.34175200108325,94.68926216058573
75,2023-04-01,precip,114 hour,5.554447025,7.199764675,8.139650499999998,9.24178775,11.774970949999998
76,2023-04-01,wind,120 hour,1.3458106050420557,1.8849531502319055,2.094303151314782,2.4407000967670833,3.5921133775975234
77,2023-04-01,t2m,120 hour,271.87771475,273.4775775,274.202025,275.7084,278.8777685
78,2023-04-01,rh,120 hour,91.07260650332738,94.69744710892212,95.86438263840813,97.16130718739562,97.91617421732221
79,2023-04-01,precip,120 hour,5.554447025,7.199764675,8.139650499999998,9.24178775,11.774970949999998
